date,quadrat_name,cover_type_infoca,plant_coverage_field,plant_coverage_rpas,shannon,richness,slope,treatment,cover_type
2021-05-19,NP13Q1,1,20,17.44,-1.689193598,11,6.75853,Prescribed Burn,Low scrubland
2021-05-19,NP13Q2,1,22,19.08,-1.367214515,7,7.26292,Prescribed Burn,Low scrubland
2021-05-19,NP13Q3,2,30,32.84,-1.301930416,10,21.90293,Prescribed Burn,Medium scrubland
2021-05-19,NP13Q4,2,20,9.84,-1.021360326,4,13.58083,Prescribed Burn,Medium scrubland
2021-05-19,NP13Q5,4,36,32.56,-1.162510477,5,4.19623,Prescribed Burn,Dense scrubland
2021-05-19,NP13Q6,3,66,68.12,-0.42926565,5,7.00261,Prescribed Burn,Stipa dense steppes
2021-05-19,NP13Q7,3,60,59.52,-0.694463818,8,8.3976,Prescribed Burn,Stipa dense steppes
2021-05-19,NP13Q8,4,37,46.48,-1.65742875,10,18.26796,Prescribed Burn,Dense scrubland
2021-05-19,NP7Q1,1,12,13.24,-1.949022745,10,12.26783,Prescribed Burn,Low scrubland
2021-05-19,NP7Q2,2,31,44,-1.490284274,10,16.54607,Prescribed Burn,Medium scrubland
2021-05-19,NP7Q3,2,28,12,-1.655341361,9,9.60659,Prescribed Burn,Medium scrubland
2021-05-19,NP7Q4,1,17,14.12,-1.955492681,11,16.00978,Prescribed Burn,Low scrubland
2021-05-19,NP7Q5,4,27,23.48,-1.781598022,9,14.42579,Prescribed Burn,Dense scrubland
2021-05-19,NP7Q6,4,29,26.92,-0.967003883,7,4.41814,Prescribed Burn,Dense scrubland
2021-05-19,NP7Q7,3,9,6.28,-1.567814695,9,17.12441,Prescribed Burn,Stipa dense steppes
2021-05-19,NP7Q8,3,21,23,-0.589038948,4,24.68117,Prescribed Burn,Stipa dense steppes
2021-05-19,NP8Q1,4,27,19.36,-1.449010459,9,21.20593,Prescribed Burn,Dense scrubland
2021-05-19,NP8Q2,4,52,51.44,-0.544612422,5,12.75371,Prescribed Burn,Dense scrubland
2021-05-19,NP8Q3,2,47,19.84,-0.998677939,7,5.14943,Prescribed Burn,Medium scrubland
2021-05-19,NP8Q4,2,28,22.88,-1.272857819,10,19.22652,Prescribed Burn,Medium scrubland
2021-05-19,NP8Q5,1,9,7.12,-0.729899089,5,15.5588,Prescribed Burn,Low scrubland
2021-05-19,NP8Q6,1,15,13.64,-1.447408388,8,16.77761,Prescribed Burn,Low scrubland
2021-05-19,NP8Q7,3,21,26.4,-0.716273072,8,9.69958,Prescribed Burn,Stipa dense steppes
2021-05-19,NP8Q8,3,65,59.36,-0.769940277,12,9.98621,Prescribed Burn,Stipa dense steppes
2021-05-19,NP9Q1,3,43,48.2,-0.496852412,6,6.84236,Prescribed Burn,Stipa dense steppes
2021-05-19,NP9Q2,2,37,48.44,-1.123975652,5,3.33678,Prescribed Burn,Medium scrubland
