species_name,treatment,mean,se,min,max,n,scientificName
Alyssum granatense,PH,0.17,0.03,0.1,0.2,3,Alyssum granatense Boiss. & Reut.
Androsace maxima,PH,0.15,0.05,0.1,0.2,2,Androsace maxima L.
Andryala ragusina,PB,0.3,NA,0.3,0.3,1,Andryala ragusina L.
Andryala ragusina,PH,0.2,0.1,0.1,0.3,2,Andryala ragusina L.
Anthyllis vulneraria,PB,0.4,NA,0.4,0.4,1,Anthyllis vulneraria L.
Anthyllis vulneraria,PH,0.27,0.09,0.1,0.4,3,Anthyllis vulneraria L.
Arabidopsis thaliana,PB,0.1,0,0.1,0.1,3,Arabidopsis thaliana (L.) Heynh.
Arabidopsis thaliana,PH,0.78,0.49,0.1,5,10,Arabidopsis thaliana (L.) Heynh.
Arabis auriculata,PH,0.27,0.12,0.1,0.5,3,Arabis auriculata Lam.
Arabis parvula,PH,0.1,0,0.1,0.1,2,Arabis parvula Dufour
Arenaria leptoclados,PH,0.31,0.1,0.1,1,9,Arenaria leptoclados (Rchb.) Guss.
Argyrolobium zanonii,PH,0.5,NA,0.5,0.5,1,Argyrolobium zanonii (Turra) P.W.Ball
Arrhenatherum album,PH,0.1,NA,0.1,0.1,1,Arrhenatherum album (Vahl) Clayton
Artemisia campestris,PH,0.1,NA,0.1,0.1,1,Artemisia campestris L.
Asperula hirsuta,PB,0.2,NA,0.2,0.2,1,Asperula hirsuta Desf.
Asperula hirsuta,PH,1.9,1.68,0.2,12,7,Asperula hirsuta Desf.
Asphodelus albus,PB,1.42,0.46,0.1,5,11,Asphodelus albus Mill.
Asphodelus albus,PH,1.82,0.81,0.1,6,8,Asphodelus albus Mill.
Asteraceae,PH,0.2,NA,0.2,0.2,1,Asteraceae
Asterolinon linum-stellatum,PB,0.1,0,0.1,0.1,4,Asterolinon linum-stellatum (L.) Duby
Asterolinon linum-stellatum,PH,0.16,0.02,0.1,0.3,11,Asterolinon linum-stellatum (L.) Duby
Astragalus alopecuroides,PB,5,1,4,6,2,Astragalus alopecuroides L.
Astragalus monspessulanus subsp. monspessulanus,PB,1.05,0.45,0.6,1.5,2,Astragalus monspessulanus subsp. monspessulanus
Astragalus sesameus,PH,0.1,NA,0.1,0.1,1,Astragalus sesameus L.
Avenula bromoides subsp. pauneroi,PB,0.36,0.05,0.3,0.5,4,Avenula bromoides subsp. pauneroi Romero Zarco
Avenula bromoides subsp. pauneroi,PH,0.27,0.08,0.1,0.8,8,Avenula bromoides subsp. pauneroi Romero Zarco
Biscutella laxa,PH,0.27,0.06,0.1,0.7,13,Biscutella laxa Boiss. & Reut.
Bombycilaena,PH,1,NA,1,1,1,Bombycilaena (DC.) Smoljan.
Bromus hordeaceus,PH,0.5,NA,0.5,0.5,1,Bromus hordeaceus L.
Bromus rubens,PB,0.1,NA,0.1,0.1,1,Bromus rubens L.
