scientificName
Alyssum granatense
Androsace maxima
Andryala ragusina
Anthyllis vulneraria
Arabidopsis thaliana
Arabis auriculata
Arabis parvula
Arenaria leptoclados
Argyrolobium zanonii
Arrhenatherum album
Artemisia campestris
Asperula hirsuta
Asphodelus albus
Asteraceae
Asterolinon linum-stellatum
Astragalus alopecuroides
Astragalus monspessulanus subsp. monspessulanus
Astragalus sesameus
Avenula bromoides subsp. pauneroi
Biscutella laxa
Bombycilaena
Bromus hordeaceus
Bromus rubens
Bromus tectorum
Bufonia tenuifolia
Bupleurum spinosum
Carex hallerana
Carlina
Centaurea gabrielis-blancae
Cerastium brachypetalum
Cerastium gracile
Chaenorhinum grandiflorum
Chaenorhinum macropodum subsp. macropodum
Chaenorhinum minus
Clypeola jonthlaspi subsp. microcarpa
Colutea hispanica
Crepis albida subsp. grosii
Crupina
Dactylis glomerata
Desconocida
Digitalis obscura subsp. obscura
Dipcadi serotinum
Eryngium campestre
Euphorbia segetalis
Euphorbia serrata
Festuca capillifolia
Filago fuscescens
Fumaria officinalis subsp. officinalis
Galium parissiense subsp. parissiense
Galium verticillatum
Genista scorpius
Helianthemum almeriense
Helianthemum appenninum
Helianthemum cinereum subsp. cinereum
Helianthemum ledifolium
Helianthemum salicifolium
Helictotrichon filifolium
Hippocrepis bourgaei
Hippocrepis ciliata
Hornungia petraea
Inula montana
Koeleria vallesiana
Lavandula lanata
Leontodon longirrostris
Linaria aeruginea subsp. aeruginea
Linaria arvensis
Linaria simplex
Linum strictum
Linum suffruticosum
Lithodora fruticosa
Logfia arvensis
Lomelosia stellata
Macrochloa tenacissima
Malcolmia africana
Medicago minima
Minuartia campestris
Minuartia hybrida
Odontites
Ononis natrix
Ononis pusilla
Ononis reclinata subsp. Mollis
Onopordum acaulon
Papaver dubium
Paronychia argentea
Petrorhagia nanteuilii
Picris hispanica
Plantago albicans
Poa bulbosa
Polygala rupestris
Reseda alba
Reseda lutea
Reseda undata subsp. Undata
Retama sphaerocarpa
Rhaponticum coniferum
Rosmarinus officinalis
Salvia lavandulifolia subsp. vellerea
Sanguisorba
Scabiosa turolensis
Scorzonera angustifolia
Sideritis pusilla
Silene conica
Silene mellifera
Staehelina dubia
Stipa almeriense
Stipa bufensis
Teucrium capitatum subsp. gracillimum
Thymelaea
Thymus zygis subsp. gracilis
Trachynia distachya
Trifolium arvense
Trigonella polyceratia
Valerianella
Velezia rigida
Xeranthemum inapertum
